stat,key,value
companion,Tanya,2
companion,Warren,2
companion,Aditya,1
companion,August,1
companion,Becca,1
companion,Javishth,1
companion,Jocelyn,1
companion,Meg,1
companion,Rohin,1
companion,Vanshita,1
location,600 Park Pl,75
location,Home,63
location,Metrograph,42
location,BAM,13
location,Film Forum,10
location,Lee and Isabel's Apartment,8
location,Flight to Abu Dabhi,3
location,Hotel in Las Vegas,3
location,Nitehawk,3
location,Flight to NYC,2
location,Flight to SF,2
location,Kunal’s apartment,2
location,Vermont,2
location,BAM Karen,1
location,Diane’s apartment,1
location,Philadelphia Airbnb,1
location,The Beverley Las Vegas,1
release_decade,1980s,40
release_decade,1990s,38
release_decade,1960s,31
release_decade,1970s,30
release_decade,1950s,23
release_decade,2020s,23
release_decade,2000s,22
release_decade,1940s,9
release_decade,1930s,8
release_decade,2010s,7
release_decade,1920s,1
